image_path,label,tampering_type,source_image
tampered_dataset/original/original_0000.png,0,none,00000001.png
tampered_dataset/original/original_0001.png,0,none,00000002.png
tampered_dataset/original/original_0002.png,0,none,00000003.png
tampered_dataset/original/original_0003.png,0,none,00000004.png
tampered_dataset/original/original_0004.png,0,none,00000005.png
tampered_dataset/original/original_0005.png,0,none,00000006.png
tampered_dataset/original/original_0006.png,0,none,00000007.png
tampered_dataset/original/original_0007.png,0,none,00000008.png
tampered_dataset/original/original_0008.png,0,none,00000009.png
tampered_dataset/original/original_0009.png,0,none,00000010.png
tampered_dataset/original/original_0010.png,0,none,00000011.png
tampered_dataset/original/original_0011.png,0,none,00000012.png
tampered_dataset/original/original_0012.png,0,none,00000013.png
tampered_dataset/original/original_0013.png,0,none,00000014.png
tampered_dataset/original/original_0014.png,0,none,00000015.png
tampered_dataset/original/original_0015.png,0,none,00000016.png
tampered_dataset/original/original_0016.png,0,none,00000017.png
tampered_dataset/original/original_0017.png,0,none,00000018.png
tampered_dataset/original/original_0018.png,0,none,00000019.png
tampered_dataset/original/original_0019.png,0,none,00000020.png
tampered_dataset/original/original_0020.png,0,none,00000021.png
tampered_dataset/original/original_0021.png,0,none,00000022.png
tampered_dataset/original/original_0022.png,0,none,00000023.png
tampered_dataset/original/original_0023.png,0,none,00000024.png
tampered_dataset/original/original_0024.png,0,none,00000025.png
tampered_dataset/original/original_0025.png,0,none,00000026.png
tampered_dataset/original/original_0026.png,0,none,00000027.png
tampered_dataset/original/original_0027.png,0,none,00000028.png
tampered_dataset/original/original_0028.png,0,none,00000029.png
tampered_dataset/original/original_0029.png,0,none,00000030.png
tampered_dataset/original/original_0030.png,0,none,00000031.png
tampered_dataset/original/original_0031.png,0,none,00000032.png
tampered_dataset/original/original_0032.png,0,none,00000033.png
tampered_dataset/original/original_0033.png,0,none,00000034.png
tampered_dataset/original/original_0034.png,0,none,00000035.png
tampered_dataset/original/original_0035.png,0,none,00000036.png
tampered_dataset/original/original_0036.png,0,none,00000037.png
tampered_dataset/original/original_0037.png,0,none,00000038.png
tampered_dataset/original/original_0038.png,0,none,00000039.png
tampered_dataset/original/original_0039.png,0,none,00000040.png
tampered_dataset/original/original_0040.png,0,none,00000041.png
tampered_dataset/original/original_0041.png,0,none,00000042.png
tampered_dataset/original/original_0042.png,0,none,00000043.png
tampered_dataset/original/original_0043.png,0,none,00000044.png
tampered_dataset/original/original_0044.png,0,none,00000045.png
tampered_dataset/original/original_0045.png,0,none,00000046.png
tampered_dataset/original/original_0046.png,0,none,00000047.png
tampered_dataset/original/original_0047.png,0,none,00000048.png
tampered_dataset/original/original_0048.png,0,none,00000049.png
tampered_dataset/original/original_0049.png,0,none,00000050.png
tampered_dataset/original/original_0050.png,0,none,00000051.png
tampered_dataset/original/original_0051.png,0,none,00000052.png
tampered_dataset/original/original_0052.png,0,none,00000053.png
tampered_dataset/original/original_0053.png,0,none,00000054.png
tampered_dataset/original/original_0054.png,0,none,00000055.png
tampered_dataset/original/original_0055.png,0,none,00000056.png
tampered_dataset/original/original_0056.png,0,none,00000057.png
tampered_dataset/original/original_0057.png,0,none,00000058.png
tampered_dataset/original/original_0058.png,0,none,00000059.png
tampered_dataset/original/original_0059.png,0,none,00000060.png
tampered_dataset/original/original_0060.png,0,none,00000061.png
tampered_dataset/original/original_0061.png,0,none,00000062.png
tampered_dataset/original/original_0062.png,0,none,00000063.png
tampered_dataset/original/original_0063.png,0,none,00000064.png
tampered_dataset/original/original_0064.png,0,none,00000065.png
tampered_dataset/original/original_0065.png,0,none,00000066.png
tampered_dataset/original/original_0066.png,0,none,00000067.png
tampered_dataset/original/original_0067.png,0,none,00000068.png
tampered_dataset/original/original_0068.png,0,none,00000069.png
tampered_dataset/original/original_0069.png,0,none,00000070.png
tampered_dataset/original/original_0070.png,0,none,00000071.png
tampered_dataset/original/original_0071.png,0,none,00000072.png
tampered_dataset/original/original_0072.png,0,none,00000073.png
tampered_dataset/original/original_0073.png,0,none,00000074.png
tampered_dataset/original/original_0074.png,0,none,00000075.png
tampered_dataset/original/original_0075.png,0,none,00000076.png
tampered_dataset/original/original_0076.png,0,none,00000077.png
tampered_dataset/original/original_0077.png,0,none,00000078.png
tampered_dataset/original/original_0078.png,0,none,00000079.png
tampered_dataset/original/original_0079.png,0,none,00000080.png
tampered_dataset/original/original_0080.png,0,none,00000081.png
tampered_dataset/original/original_0081.png,0,none,00000082.png
tampered_dataset/original/original_0082.png,0,none,00000083.png
tampered_dataset/original/original_0083.png,0,none,00000084.png
tampered_dataset/original/original_0084.png,0,none,00000085.png
tampered_dataset/original/original_0085.png,0,none,00000086.png
tampered_dataset/original/original_0086.png,0,none,00000087.png
tampered_dataset/original/original_0087.png,0,none,00000088.png
tampered_dataset/original/original_0088.png,0,none,00000089.png
tampered_dataset/original/original_0089.png,0,none,00000090.png
tampered_dataset/original/original_0090.png,0,none,00000091.png
tampered_dataset/original/original_0091.png,0,none,00000092.png
tampered_dataset/original/original_0092.png,0,none,00000093.png
tampered_dataset/original/original_0093.png,0,none,00000094.png
tampered_dataset/original/original_0094.png,0,none,00000095.png
tampered_dataset/original/original_0095.png,0,none,00000096.png
tampered_dataset/original/original_0096.png,0,none,00000097.png
tampered_dataset/original/original_0097.png,0,none,00000098.png
tampered_dataset/original/original_0098.png,0,none,00000099.png
tampered_dataset/original/original_0099.png,0,none,00000100.png
tampered_dataset/original/original_0100.png,0,none,00000101.png
tampered_dataset/original/original_0101.png,0,none,00000102.png
tampered_dataset/original/original_0102.png,0,none,00000103.png
tampered_dataset/original/original_0103.png,0,none,00000104.png
tampered_dataset/original/original_0104.png,0,none,00000105.png
tampered_dataset/original/original_0105.png,0,none,00000106.png
tampered_dataset/original/original_0106.png,0,none,00000107.png
tampered_dataset/original/original_0107.png,0,none,00000108.png
tampered_dataset/original/original_0108.png,0,none,00000109.png
tampered_dataset/original/original_0109.png,0,none,00000110.png
tampered_dataset/original/original_0110.png,0,none,00000111.png
tampered_dataset/original/original_0111.png,0,none,00000112.png
tampered_dataset/original/original_0112.png,0,none,00000113.png
tampered_dataset/original/original_0113.png,0,none,00000114.png
tampered_dataset/original/original_0114.png,0,none,00000115.png
tampered_dataset/original/original_0115.png,0,none,00000116.png
tampered_dataset/original/original_0116.png,0,none,00000117.png
tampered_dataset/original/original_0117.png,0,none,00000118.png
tampered_dataset/original/original_0118.png,0,none,00000119.png
tampered_dataset/original/original_0119.png,0,none,00000120.png
tampered_dataset/original/original_0120.png,0,none,00000121.png
tampered_dataset/original/original_0121.png,0,none,00000122.png
tampered_dataset/original/original_0122.png,0,none,00000123.png
tampered_dataset/original/original_0123.png,0,none,00000124.png
tampered_dataset/original/original_0124.png,0,none,00000125.png
tampered_dataset/original/original_0125.png,0,none,00000126.png
tampered_dataset/original/original_0126.png,0,none,00000127.png
tampered_dataset/original/original_0127.png,0,none,00000128.png
tampered_dataset/original/original_0128.png,0,none,00000129.png
tampered_dataset/original/original_0129.png,0,none,00000130.png
tampered_dataset/original/original_0130.png,0,none,00000131.png
tampered_dataset/original/original_0131.png,0,none,00000132.png
tampered_dataset/original/original_0132.png,0,none,00000133.png
tampered_dataset/original/original_0133.png,0,none,00000001.png
tampered_dataset/original/original_0134.png,0,none,00000002.png
tampered_dataset/original/original_0135.png,0,none,00000003.png
tampered_dataset/original/original_0136.png,0,none,00000004.png
tampered_dataset/original/original_0137.png,0,none,00000005.png
tampered_dataset/original/original_0138.png,0,none,00000006.png
tampered_dataset/original/original_0139.png,0,none,00000007.png
tampered_dataset/original/original_0140.png,0,none,00000008.png
tampered_dataset/original/original_0141.png,0,none,00000009.png
tampered_dataset/original/original_0142.png,0,none,00000010.png
tampered_dataset/original/original_0143.png,0,none,00000011.png
tampered_dataset/original/original_0144.png,0,none,00000012.png
tampered_dataset/original/original_0145.png,0,none,00000013.png
tampered_dataset/original/original_0146.png,0,none,00000014.png
tampered_dataset/original/original_0147.png,0,none,00000015.png
tampered_dataset/original/original_0148.png,0,none,00000016.png
tampered_dataset/original/original_0149.png,0,none,00000017.png
tampered_dataset/original/original_0150.png,0,none,00000018.png
tampered_dataset/original/original_0151.png,0,none,00000019.png
tampered_dataset/original/original_0152.png,0,none,00000020.png
tampered_dataset/original/original_0153.png,0,none,00000021.png
tampered_dataset/original/original_0154.png,0,none,00000022.png
tampered_dataset/original/original_0155.png,0,none,00000023.png
tampered_dataset/original/original_0156.png,0,none,00000024.png
tampered_dataset/original/original_0157.png,0,none,00000025.png
tampered_dataset/original/original_0158.png,0,none,00000026.png
tampered_dataset/original/original_0159.png,0,none,00000027.png
tampered_dataset/original/original_0160.png,0,none,00000028.png
tampered_dataset/original/original_0161.png,0,none,00000029.png
tampered_dataset/original/original_0162.png,0,none,00000030.png
tampered_dataset/original/original_0163.png,0,none,00000031.png
tampered_dataset/original/original_0164.png,0,none,00000032.png
tampered_dataset/original/original_0165.png,0,none,00000033.png
tampered_dataset/original/original_0166.png,0,none,00000034.png
tampered_dataset/original/original_0167.png,0,none,00000035.png
tampered_dataset/original/original_0168.png,0,none,00000036.png
tampered_dataset/original/original_0169.png,0,none,00000037.png
tampered_dataset/original/original_0170.png,0,none,00000038.png
tampered_dataset/original/original_0171.png,0,none,00000039.png
tampered_dataset/original/original_0172.png,0,none,00000040.png
tampered_dataset/original/original_0173.png,0,none,00000041.png
tampered_dataset/original/original_0174.png,0,none,00000042.png
tampered_dataset/original/original_0175.png,0,none,00000043.png
tampered_dataset/original/original_0176.png,0,none,00000044.png
tampered_dataset/original/original_0177.png,0,none,00000045.png
tampered_dataset/original/original_0178.png,0,none,00000046.png
tampered_dataset/original/original_0179.png,0,none,00000047.png
tampered_dataset/original/original_0180.png,0,none,00000048.png
tampered_dataset/original/original_0181.png,0,none,00000049.png
tampered_dataset/original/original_0182.png,0,none,00000050.png
tampered_dataset/original/original_0183.png,0,none,00000051.png
tampered_dataset/original/original_0184.png,0,none,00000052.png
tampered_dataset/original/original_0185.png,0,none,00000053.png
tampered_dataset/original/original_0186.png,0,none,00000054.png
tampered_dataset/original/original_0187.png,0,none,00000055.png
tampered_dataset/original/original_0188.png,0,none,00000056.png
tampered_dataset/original/original_0189.png,0,none,00000057.png
tampered_dataset/original/original_0190.png,0,none,00000058.png
tampered_dataset/original/original_0191.png,0,none,00000059.png
tampered_dataset/original/original_0192.png,0,none,00000060.png
tampered_dataset/original/original_0193.png,0,none,00000061.png
tampered_dataset/original/original_0194.png,0,none,00000062.png
tampered_dataset/original/original_0195.png,0,none,00000063.png
tampered_dataset/original/original_0196.png,0,none,00000064.png
tampered_dataset/original/original_0197.png,0,none,00000065.png
tampered_dataset/original/original_0198.png,0,none,00000066.png
tampered_dataset/original/original_0199.png,0,none,00000067.png
tampered_dataset/tampered/tampered_0000_insertion.png,1,insertion,00000001.png
tampered_dataset/tampered/tampered_0000_removal.png,1,removal,00000001.png
tampered_dataset/tampered/tampered_0000_intensity_modification.png,1,intensity_modification,00000001.png
